tweet_id,favorite_count,retweet_count,date_time
715360349751484417,5851,1729,2016-03-31 02:09:32
715680795826982913,4630,1782,2016-03-31 23:22:53
715696743237730304,4179,1417,2016-04-01 00:26:15
715733265223708672,4992,1859,2016-04-01 02:51:22
715928423106027520,3427,965,2016-04-01 15:46:52
716080869887381504,5226,1914,2016-04-02 01:52:38
716285507865542656,2973,1196,2016-04-02 15:25:47
716439118184652801,2527,241,2016-04-03 01:36:11
716791146589110272,5912,1521,2016-04-04 00:55:01
716802964044845056,4560,1286,2016-04-04 01:41:58
717009362452090881,3500,1075,2016-04-04 15:22:08
717047459982213120,6710,2092,2016-04-04 17:53:31
717421804990701568,3375,927,2016-04-05 18:41:02
717537687239008257,6168,2017,2016-04-06 02:21:30
717790033953034240,3105,1241,2016-04-06 19:04:14
717841801130979328,2620,655,2016-04-06 22:29:56
718234618122661888,4135,1097,2016-04-08 00:30:51
718246886998687744,2059,552,2016-04-08 01:19:36
718454725339934721,5218,1649,2016-04-08 15:05:29
718460005985447936,2891,584,2016-04-08 15:26:28
718540630683709445,2671,1111,2016-04-08 20:46:50
718613305783398402,2622,531,2016-04-09 01:35:37
718631497683582976,20307,8887,2016-04-09 02:47:55
718939241951195136,5611,1925,2016-04-09 23:10:47
718971898235854848,3734,1206,2016-04-10 01:20:33
719332531645071360,3648,1049,2016-04-11 01:13:34
719339463458033665,4718,1370,2016-04-11 01:41:07
719367763014393856,2980,810,2016-04-11 03:33:34
719551379208073216,5408,2121,2016-04-11 15:43:12
719704490224398336,4883,1590,2016-04-12 01:51:36
719991154352222208,5178,1925,2016-04-12 20:50:42
720043174954147842,5244,2199,2016-04-13 00:17:25
720059472081784833,4163,1240,2016-04-13 01:22:10
720340705894408192,3065,1072,2016-04-13 19:59:42
720389942216527872,6861,2768,2016-04-13 23:15:21
720415127506415616,4414,1639,2016-04-14 00:55:25
720775346191278080,2645,745,2016-04-15 00:46:48
720785406564900865,3329,845,2016-04-15 01:26:47
721001180231503872,2697,676,2016-04-15 15:44:11
721503162398597120,4989,2064,2016-04-17 00:58:53
722613351520608256,5297,1795,2016-04-20 02:30:23
722974582966214656,4400,1721,2016-04-21 02:25:47
723179728551723008,5665,2058,2016-04-21 16:00:57
723673163800948736,3237,982,2016-04-23 00:41:42
723688335806480385,8277,3274,2016-04-23 01:41:59
723912936180330496,4156,1345,2016-04-23 16:34:28
724004602748780546,4478,1737,2016-04-23 22:38:43
724046343203856385,2849,609,2016-04-24 01:24:35
724049859469295616,4648,1940,2016-04-24 01:38:33
724405726123311104,5687,1808,2016-04-25 01:12:38
724771698126512129,2542,704,2016-04-26 01:26:53
724983749226668032,3964,1432,2016-04-26 15:29:30
725729321944506368,5550,1953,2016-04-28 16:52:08
725786712245440512,4459,1490,2016-04-28 20:40:11
725842289046749185,7555,2902,2016-04-29 00:21:01
726224900189511680,4728,1275,2016-04-30 01:41:23
726828223124897792,3807,1104,2016-05-01 17:38:46
726887082820554753,4112,1650,2016-05-01 21:32:40
726935089318363137,7373,2685,2016-05-02 00:43:25
727175381690781696,4145,1499,2016-05-02 16:38:15
727286334147182592,3254,902,2016-05-02 23:59:09
727314416056803329,3554,821,2016-05-03 01:50:44
727524757080539137,4794,1349,2016-05-03 15:46:33
727644517743104000,6330,1920,2016-05-03 23:42:26
727685679342333952,3140,698,2016-05-04 02:26:00
728015554473250816,4398,1201,2016-05-05 00:16:48
728035342121635841,4867,1837,2016-05-05 01:35:26
728046963732717569,4630,1292,2016-05-05 02:21:37
728387165835677696,3938,1049,2016-05-06 00:53:27
728409960103686147,5287,2217,2016-05-06 02:24:02
728653952833728512,3552,1144,2016-05-06 18:33:34
728751179681943552,2996,742,2016-05-07 00:59:55
728760639972315136,5000,1863,2016-05-07 01:37:30
728986383096946689,3398,895,2016-05-07 16:34:32
729113531270991872,2024,362,2016-05-08 00:59:46
729463711119904772,6230,2530,2016-05-09 00:11:16
729823566028484608,4278,1364,2016-05-10 00:01:12
729838605770891264,1826,419,2016-05-10 01:00:58
729854734790754305,4315,1227,2016-05-10 02:05:03
730196704625098752,5247,2118,2016-05-11 00:43:55
730211855403241472,4105,1152,2016-05-11 01:44:07
730427201120833536,3726,1149,2016-05-11 15:59:50
730573383004487680,5281,2378,2016-05-12 01:40:42
730924654643314689,6569,2180,2016-05-13 00:56:32
731156023742988288,4111,1397,2016-05-13 16:15:54
